翡翠装饰的阿兹特克	裝飾著翡翠的阿茲特克
伊丽莎白·斯旺	伊莉莎白·史旺
赫克托·巴博萨	赫克托·巴伯沙
国际标准时间	UTC
杰克·斯帕罗	傑克·史派羅
飞行荷兰人号	幽冥飛船
铁匠的安全帽	鐵匠的保護帽
托普卡普短剑	托普卡短劍
乔卡曼绅士	賈卡紳士
杰克的诙谐	傑克的詼諧
客户端版本	系統版本
伯妮·苏的	伯妮·甦的
舍施尔弯刀	捨施爾彎刀
狮子的心脏	獅子的心臟
晒干的药草	曬乾的藥草
戴维·琼斯	深海閻王
苹果商店	iTunes
活动编号	EventID
运营人员	GM
邮箱商城	Google Play Games
钻石贵宾	SVVIP
黃金貴賓	VVIP
阿兹特克	科爾蒂斯
气势冲天	氣勢沖天
档案存取	檔案存取
文件存取	訪問文件
联盟收割	聯盟搜刮
不法之徒	無法之徒
防御侦查	妨礙偵查
宝物洞穴	寶藏洞穴
斧头海盗	斧頭屠殺者
不足畏惧	不足為懼
个性改装	非法改裝
筛子喂驴	篩子餵驢
收获资源	收穫資源
遇难船只	失事船隻
喂虎割肉	喂虎割肉
以肉喂虎	以肉喂虎
嚼饭喂人	嚼饭喂人
精兵强将	將強兵精
奖励说明	獎勵介紹
战斗胜负	戰鬥成果
侦察情报	偵察信息
扎尔丹娜	扎爾丹娜
系统信息	通知
船员列表	海盜目錄
收容所	監獄
黑珍珠	鬼盜船
吉布斯	吉卜
朗姆酒	蘭姆酒
白胡子	白鬍子
瓶子里	瓶子裡
斯卡娅	斯卡婭
阿曼达	亞曼
尼普顿	涅普頓
鳐鱼怪	鰩魚怪
投弹手	炸彈狂
最高级	精緻
清夫人	秦夫人
聚集地	集結地
扎克瑞	扎克瑞
迁城券	遷城劵
巴博萨	巴伯沙
波塞冬	波賽頓
补给官	海盜總管
回转力	迴轉力
苹果	Apple
谷歌	Google
安卓	Android
公测	CBT
英语	English
信息	INFO
胜利	勝利
家伙	傢伙
招抚	降服
锯鲨	鋸鯊
关于	關于
挂钩	掛鉤
卷入	捲入
匮喂	匱餵
哪里	哪裡
昵称	暱稱
对象	對像
大炮	大砲
图鉴	圖鑑
哭泣	掉淚
图标	圖示
冻喂	冻喂
资深	老將
里面	裡面
里边	裡邊
模具	磨具
土豆	馬鈴薯
玛丽	瑪莉
猛犸	猛獁
列表	目錄
压迫	剝削
复原	復原
祠庙	寺院
预约	事前登錄
饲喂	饲喂
相克	相剋
想象	想像
尝尝	嚐嚐
生姜	生薑
布置	設置
节电	省電
修理	修復
随着	隨著
什么	什麽
饿喂	饿喂
按钮	按鍵
烟斗	煙斗
燃烧	延燒
侥幸	僥倖
欲望	慾望
阶位	位階
喂奶	喂奶
喂料	喂料
喂饲	喂饲
喂食	喂食
喂饿	喂饿
喂眼	喂眼
喂养	喂养
喂草	喂草
委托	委託
喂饱	喂饱
喂吃	餵吃
唷喂	唷喂
饮喂	饮喂
鹰炮	鹰砲
迁移	移動
一只	一隻
承载	載有
这里	這裡
低于	低于
维修	整修
制裁	制裁
预兆	兆頭
堡垒	碉堡
黑商	走私犯
注册	註冊
给予	贈予
市场	集市
枪杆	槍桿
铁链	鐵鍊
尖锐	尖銳
称赞	稱讚
承载	搭乘
枪手	砲手
标志	標誌
行踪	行踪
大锤	鐵鎚
赞扬	讚揚
赞成	贊成
